sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
139289	F7	F7_S55_L001_R1_001.fastq.gz	93756208e05d0ad3fe0f468c592b27b4711a540f2707b4fd367750f8efde2f3d	F7_S55_L001_R2_001.fastq.gz	0d43327d1eb85d96b5037a8870aeb1af9cab4d698cce698a498d4036203e0f87	670	20211115_nitschke	1.1591379494292116	1.0282726981756107	0.011479782353568762	1.0253920836445107	0.01139443081190654	0.002880614531099968	8.535154166222128e-05	0.0	0.0	1.0	0.00019204096873999787	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2
139363	H30	H30_S174_L001_R1_001.fastq.gz	e43e4665971bc2bf49b584ceb235ebe5fd975acb5eaa74f9d95dea8ebaf56b79	H30_S174_L001_R2_001.fastq.gz	0c4f47b608218ed41eb9dd2db0504142d557f09ee301f2a79673d4bd64f0efb2	670	20211115_nitschke	1.1380681488361293	1.0211151100017415	0.010216520578162188	1.0183432983107912	0.010187496371974226	0.0027718116909502526	2.902420618796076e-05	0.0	0.0	1.0	0.0003482904742555291	0	0	0.0007546293608869797	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2
139280	F42	F42_S90_L001_R1_001.fastq.gz	a513d664ac79327a466cdff16ac9e079ead1ae36aa1dc2fd620d44916c57725f	F42_S90_L001_R2_001.fastq.gz	f183384871aa254aacd35e5e4903bf2f4b1eedf10a414e03027e9a8333b20de0	670	20211115_nitschke	1.163008356545961	1.0333147632311979	0.01045125348189415	1.0311532033426183	0.010428969359331476	0.002161559888579387	2.2284122562674096e-05	0.0	0.0	1.0	0.00011142061281337047	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2
139333	G47	G47_S143_L001_R1_001.fastq.gz	e00d48dc300650cea5627b80ce84809343afb26cf2242cf9ac74cc5c57a1fd4a	G47_S143_L001_R2_001.fastq.gz	ec9c860fe97ec2f602a7674fc446b1b792faaef548dc06abe9560f562861e8e5	670	20211115_nitschke	1.2592903045543449	1.057957130882529	0.013411567476948869	1.0567596695006587	0.013331736718157506	0.0011974613818704347	7.983075879136232e-05	0.0	0.0	1.0	0.00023949227637408692	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2
139391	I12	I12_S204_L001_R1_001.fastq.gz	828401e6713b477e631e6ec201330b6302600a6d9974d5e360a5db7f301021d4	I12_S204_L001_R2_001.fastq.gz	6dc7019d804bed0660b985cd356627d567747b08ff23a4e9df334409282b05d2	670	20211115_nitschke	1.1624101502940536	1.0243955565236331	0.012361141363537356	1.022217381834023	0.012306686996297103	0.0021781746896101066	5.445436724025267e-05	0.0	0.0	1.0	0.00013613591810063166	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2
139386	H8	H8_S152_L001_R1_001.fastq.gz	01140c8ae8a9f5fc2b01d8a40f11424c50ff9c15b3f02d9efdbd70dd0de80679	H8_S152_L001_R2_001.fastq.gz	abbb842358a8e2ebc4ffd9121761e14e61894cdcf975ec2d4dfc7cae2772b6f3	670	20211115_nitschke	1.154076455201538	1.021682266553213	0.011187797422079355	1.0186410765497462	0.011124767577447922	0.0030411900034666415	6.302984463143299e-05	0.0	0.0	1.0	0.0003151492231571649	0	0	0.0005199962182093221	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2
139406	I26	I26_S218_L001_R1_001.fastq.gz	fdcc6df4733e8d71fcb1827af7c4eb6ac65213130c9814585dc68f0885f44f54	I26_S218_L001_R2_001.fastq.gz	8a1392be377db3d0626f71e93a91cc6b7eb1303d8adb457fb69e8ef6e6f1483c	670	20211115_nitschke	1.1556118281326582	1.0300604476392747	0.011190981865708218	1.0276915536677014	0.011150138866198334	0.0023688939715732723	4.0842999509884004e-05	0.0	0.0	1.0	0.000122528998529652	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2
139349	H18	H18_S162_L001_R1_001.fastq.gz	c6c7829311ee25f7538a402b49324d12353b9d2e38c9ea2eb5a3db0bef0cbdc4	H18_S162_L001_R2_001.fastq.gz	19353c2f61fd096f9e483f9be5e267e206166db2de367f3c73927f6883b31af9	670	20211115_nitschke	1.1651965822454708	1.0282716409210142	0.010891408059641965	1.0252343186733959	0.010860728036938747	0.0030373222476184633	3.06800227032168e-05	0.0	0.0	1.0	0.0003374802497353848	0	0	0.0009510807037997207	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2
139329	G43	G43_S139_L001_R1_001.fastq.gz	c3b0ef01e412e6e25d31884d7dad4218208f6ff471a34358f663b23d095d248a	G43_S139_L001_R2_001.fastq.gz	0c312c380e84028d944b7f522fd5432f3c669b12d716ea08102383d320384202	670	20211115_nitschke	1.1614857041061726	1.0473145096642025	0.01049256257237018	1.0448383361539146	0.010421305780707223	0.002476173510287699	7.125679166295538e-05	0.0	0.0	1.0	0.00010688518749443307	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2
139286	F48	F48_S96_L001_R1_001.fastq.gz	719ee4258dc97d3f85071a4aba5efe283f38e8f81c3d88dd022770738b107e75	F48_S96_L001_R2_001.fastq.gz	d93c470c49910c750ce7688206e68463ceb90e73ba9943b657d47f97b2569446	670	20211115_nitschke	1.1685996951928292	1.0315914550667735	0.011830651202438458	1.0300415880970217	0.011804820086275928	0.001549866969751763	2.5831116162529384e-05	0.0	0.0	1.0	0.00023248004546276444	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Acroporidae	Isopora	palifera	-23.44611000	151.91464900	20210404	2
